title,images,category,description,price,sku
OUTDOOR LIGHT UD 511 B080,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_07.webp,platoled,"Product name OUTDOOR LIGHT UD 511 B080
Material Back: Alloy ABS
Color BLACK
IP Rating NA
Color Temp 65K|35K|45K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
10 W",,
OUTDOOR LIGHT CR 706 B082,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_08.webp,platoled,"Product name OUTDOOR LIGHT CR 706 B082
Material Back: Alloy ABS
Color BLACK
IP Rating NA
Color Temp 35K|RGB
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
8 W",,
OUTDOOR LIGHT CR 706 B082,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_08.webp,platoled,"Product name OUTDOOR LIGHT CR 706 B082
Material Alum
Color BLACK
IP Rating NA
Color Temp 35K|RGB
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
12 W",,
OL 15W B161,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_18.webp,platoled,"Product name OL 15W B161
Material BLACK:ALLOY ALUMINUM
Color WHITE+GOLD
IP Rating NA
Color Temp 35K
CRI 70
LM/W 65-70
PF 0.5
Vol AC100-265V
Available in
10 W",,
OL 6W B162,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_19.webp,platoled,"Product name OL 6W B162
Material BLACK:ALLOY ALUMINUM
Color BLACK+GOLD
IP Rating NA
Color Temp 35K
CRI 70
LM/W 65-70
PF 0.5
Vol AC100-265V
Available in
6 W",,
OUTDOOR LIGHT B138-B139-B140-B141,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_20.webp,platoled,"Product name OUTDOOR LIGHT B138-B139-B140-B141
Material * BACK: ALLOY ALUMINUM
Color BLACK
IP Rating NA
Color Temp 35K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
B138 - 10W 3 EYES | B139 - 15W 4 EYES | B140 - 20W 5 EYES |B141 - 22W 6 EYES",,
OUTDOOR LIGHT BB 702,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_21.webp,platoled,"Product name OUTDOOR LIGHT BB 702
Material ABS
Color BLACK
IP Rating NA
Color Temp 35K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
10 W",,
OUTDOOR WALL BLK+GLD M541-M542,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_22.webp,platoled,"Product name OUTDOOR WALL BLK+GLD M541-M542
Material ABS
Color BLACK+GOLD
IP Rating NA
Color Temp 35K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
M541 - 7W 3X3 | M542 - 10W 4X4",,
OUTDOOR LIGHT BLK-GLD B012-B013-B014,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_23.webp,platoled,"Product name OUTDOOR LIGHT BLK-GLD B012-B013-B014
Material ABS
Color BLACK+GOLD
IP Rating NA
Color Temp 35K | RGB
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
B012 - 5W 2X2 | B013 - 7W 3X3 | B014 - 10W 4X4",,
OL BLK B232,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_24.webp,platoled,"Product name OL BLK B232
Material * Back: Alloy ABS
Color BLACK
IP Rating NA
Color Temp 6K | 3K | 6K+RED | 6K+GREEN | 6K+BLUE | 3K+RED | 3K+GREEN | 3K+BLUE
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-265V
Available in
10 W",,
